@relation new

@attribute year numeric
@attribute iso_code {ALB,DZA,AGO,ARG,ARM,AUS,AUT,AZE,BHS,BHR,BGD,BRD,BLR,BEL,BLZ,BEN,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CAF,TCD,CHL,CHN,COL,COD,COG,CRI,CIV,HRV,CYP,CZE,DNK,DOM,ECU,EGY,SLV,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GRC,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KOR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LTU,LUX,MKD,MDG,MWI,MYS,MLI,MLT,MRT,MUS,MEX,MDA,MNG,MNE,MAR,MOZ,MMR,NAM,NPL,NLD,NZL,NIC,NER,NGA,NOR,OMN,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROU,RUS,RWA,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TWN,TJK,TZA,THA,TLS,TGO,TTO,TUN,TUR,UGA,UKR,ARE,GBR,USA,URY,VEN,VNM,YEM,ZMB,ZWE}
@attribute rank numeric
@attribute government_consumption numeric
@attribute transfers numeric
@attribute gov_enterprises numeric
@attribute top_marg_tax_rate numeric
@attribute size_government numeric
@attribute judicial_independence numeric
@attribute impartial_courts numeric
@attribute protection_property_rights numeric
@attribute military_interference numeric
@attribute integrity_legal_system numeric
@attribute legal_enforcement_contracts numeric
@attribute restrictions_sale_real_property numeric
@attribute reliability_police numeric
@attribute business_costs_crime numeric
@attribute gender_adjustment numeric
@attribute property_rights numeric
@attribute money_growth numeric
@attribute std_inflation numeric
@attribute inflation numeric
@attribute freedom_own_foreign_currency numeric
@attribute sound_money numeric
@attribute tariffs numeric
@attribute regulatory_trade_barriers numeric
@attribute black_market numeric
@attribute control_movement_capital_ppl numeric
@attribute trade numeric
@attribute credit_market_reg numeric
@attribute labor_market_reg numeric
@attribute business_reg numeric
@attribute regulation numeric
@attribute freedom numeric

@data
2016,CRI,33,5.435294,8.501325,10,6.5,7.609155,7.255743,4.389432,6.302504,10,5,3.523502,8.67449,6.097736,5.408519,0.871795,5.891155,9.509111,9.610662,9.99918,2,9.779738,7.962311,6.090374,10,7.961562,8.003562,6.798088,6.145051,6.404254,6.449131,1
2016,CIV,132,7.335294,9.958249,4,2,5.823386,4.291211,4.837725,5.402195,3.333333,4.166667,3.974268,7.00056,5.083334,4.630969,0.923077,4.56413,9.093016,9.757351,9.8548,0,7.176292,5.7744,2.929834,10,3.216521,5.480189,8.693333,5.930779,6.203657,6.94259,1
2016,HRV,75,4.438235,4.297315,8,2,4.683888,3.154351,1.765375,4.383977,8.333333,7.5,4.642387,7.513402,6.074649,7.24443,0.948718,5.479351,7.120635,9.64466,9.78,2,9.136324,8.568356,8.306176,10,5.878025,8.188139,9.409518,6.372156,6.081176,7.287616,1
2016,CYP,18,6.520588,6.235337,10,6.5,7.313981,6.091953,4.238453,5.868837,8.333333,8.333333,4.003515,6.41131,6.150461,6.891518,0.897436,5.937152,8.736025,9.508919,9.7142,2,9.489786,8.266133,7.870572,10,6.995518,8.283056,9.575116,6.212178,6.855927,7.54774,1
2016,CZE,30,3.226471,3.353894,10,6.5,5.770091,5.827378,3.046968,6.051435,10,8.333333,3.806149,8.155976,6.261775,7.528492,0.923077,6.304648,7.901909,9.772819,9.87214,2,9.386717,8.266133,8.416627,10,6.255504,8.234566,9.768838,8.119501,6.37885,8.089063,1
2016,DNK,16,1.505882,4.530715,8,2.5,4.134149,8.569609,5.976064,8.181675,10,10,5.393732,9.727176,7.924673,6.924851,1,8.077531,9.847808,9.656597,9.95,2,9.863601,8.266133,8.207247,10,7.372651,8.461508,9.769574,7.316828,7.875363,8.320588,1
2016,DOM,62,7.747059,9.585597,6,8,7.833164,2.225285,2.809915,4.820466,5,4.166667,3.533009,8.031916,2.430884,3.25271,1,4.030095,8.961171,9.26043,9.6772,2,9.4747,7.908089,7.079631,10,6.793765,7.945371,8.333333,6.013669,5.50661,6.617871,1
2016,ECU,127,6.076471,9.591281,2,5,5.666938,1.163915,2.144683,3.805728,2.5,4.166667,4.870379,8.591535,4.841976,4.552739,0.871795,3.809895,9.360712,9.002464,9.656,1,8.254794,6.318844,4.179158,10,5.500476,6.49962,8.568785,4.940573,4.629035,6.046131,1
2016,EGY,147,8.197059,7.070287,2,7,6.066837,6.872852,4.090909,4.882155,1.666667,5,3.408055,8.220975,6.329966,5.673401,0.538462,3.944015,6.342617,9.018847,7.2372,2,8.149666,4.9,3.681321,9.182631,4.705837,5.617447,4,4.852991,5.603716,4.818902,0
2016,SLV,67,8.244118,9.472089,8,8,8.429052,3.724077,2.567252,4.165203,4.166667,2.5,3.833384,8.165021,2.286652,0.778196,1,3.576272,9.524336,9.829958,9.87922,2,9.808379,8.227556,6.567556,10,5.918339,7.678363,8.394469,4.446562,5.889923,6.243651,1
